ATAB
Number_of_integer_label_columns: 5
Number_of_real_label_columns: 0
Number_of_data_columns: 14
Number_of_data_rows: 4368
Width_of_text_label_column: 15
Type_of_product: 'Observations from DWH'
Start_time: 2017-01-01 00:00 +0:00
End_time: 2021-01-01 00:00 +0:00
Missing_value_code: -9999.0
Descriptor: BETU24	ALNU24	POAC24
Parameter: 'Birch pol cnc. 24h 0-0 UTC'	'Alder pol cnc. 24h 0-0 UTC'	'Grass pol cnc. 24h 0-0 UTC'
Unit: '1/m^3'	'1/m^3'	'1/m^3'
Indicator: PLO	PBS	PBE	PBU	PLS	PDS	PLU	PLZ	PMU	PVI	PNE	PZH	PGE	PCF
Latitude: 46.173	47.562	46.947	47.173	46.525	46.828	46.004	47.058	47.63	46.292	47.001	47.378	46.192	47.113
Longitude: 8.787	7.584	7.421	9.473	6.643	9.854	8.961	8.297	9.237	7.883	6.95	8.566	6.149	6.832
Height: 376	256	551	446	569	1587	275	463	412	648	489	558	382	1037
PARAMETER        YYYY MM DD HH mm PLO PBS PBE PBU PLS PDS PLU PLZ PMU PVI PNE PZH PGE PCF
BETU24              2017        4       13        0        0   150.000000000    33.000000000   187.000000000    61.000000000    28.000000000     5.000000000    46.000000000    87.000000000    39.000000000   172.000000000    20.000000000    74.000000000    14.000000000    53.000000000
BETU24              2017        4       14        0        0    84.000000000     9.000000000   332.000000000    26.000000000    18.000000000    12.000000000    53.000000000    18.000000000    22.000000000    51.000000000     5.000000000    15.000000000     4.000000000     7.000000000
BETU24              2017        4       15        0        0    74.000000000     7.000000000   154.000000000    20.000000000    18.000000000     3.000000000    26.000000000    14.000000000    26.000000000    53.000000000     5.000000000    19.000000000    15.000000000    11.000000000
BETU24              2017        4       16        0        0    45.000000000     8.000000000    50.000000000     1.000000000     8.000000000     0.000000000    74.000000000     1.000000000     7.000000000    45.000000000     8.000000000    11.000000000    12.000000000     4.000000000
BETU24              2017        4       17        0        0    18.000000000     5.000000000    64.000000000     3.000000000     4.000000000     0.000000000     9.000000000    12.000000000    18.000000000    16.000000000     4.000000000     7.000000000     5.000000000    12.000000000
BETU24              2017        4       18        0        0    46.000000000    14.000000000    86.000000000     5.000000000    26.000000000     3.000000000    30.000000000    18.000000000 -9999.000000000    34.000000000     8.000000000    14.000000000     4.000000000    19.000000000
BETU24              2017        4       19        0        0    24.000000000     4.000000000    41.000000000     8.000000000    24.000000000     1.000000000     5.000000000     5.000000000 -9999.000000000    25.000000000     4.000000000     1.000000000    16.000000000     9.000000000
BETU24              2017        4       20        0        0    20.000000000    12.000000000    61.000000000    17.000000000    15.000000000     3.000000000    15.000000000    16.000000000 -9999.000000000    12.000000000     7.000000000    26.000000000    15.000000000    14.000000000
BETU24              2017        4       21        0        0    11.000000000     9.000000000    45.000000000     4.000000000     6.000000000     1.000000000     4.000000000     5.000000000 -9999.000000000    20.000000000     4.000000000     9.000000000     1.000000000     5.000000000
BETU24              2017        4       22        0        0     4.000000000     3.000000000    61.000000000     4.000000000     1.000000000     5.000000000    11.000000000     4.000000000 -9999.000000000    15.000000000     0.000000000     7.000000000     1.000000000     4.000000000
BETU24              2017        4       23        0        0     8.000000000     7.000000000    16.000000000     3.000000000     9.000000000     1.000000000     8.000000000     5.000000000 -9999.000000000    11.000000000     1.000000000     8.000000000     8.000000000     9.000000000
