ATAB
Number_of_integer_label_columns: 5
Number_of_real_label_columns: 0
Number_of_data_columns: 14
Number_of_data_rows: 4368
Width_of_text_label_column: 15
Type_of_product: 'Observations from DWH'
Start_time: 2017-01-01 00:00 +0:00
End_time: 2021-01-01 00:00 +0:00
Missing_value_code: -9999.0
Descriptor: BETU24	ALNU24	POAC24
Parameter: 'Birch pol cnc. 24h 0-0 UTC'	'Alder pol cnc. 24h 0-0 UTC'	'Grass pol cnc. 24h 0-0 UTC'
Unit: '1/m^3'	'1/m^3'	'1/m^3'
Indicator: PLO	PBS	PBE	PBU	PLS	PDS	PLU	PLZ	PMU	PVI	PNE	PZH	PGE	PCF
Latitude: 46.173	47.562	46.947	47.173	46.525	46.828	46.004	47.058	47.63	46.292	47.001	47.378	46.192	47.113
Longitude: 8.787	7.584	7.421	9.473	6.643	9.854	8.961	8.297	9.237	7.883	6.95	8.566	6.149	6.832
Height: 376	256	551	446	569	1587	275	463	412	648	489	558	382	1037
PARAMETER        YYYY MM DD HH mm PLO PBS PBE PBU PLS PDS PLU PLZ PMU PVI PNE PZH PGE PCF
BETU24              2017        3       13        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       14        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     1.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       15        0        0     3.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       16        0        0     0.000000000     0.000000000     0.000000000     0.000000000     1.000000000     0.000000000     3.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       17        0        0     3.000000000     0.000000000     0.000000000     0.000000000     1.000000000     1.000000000     3.000000000     0.000000000     0.000000000     1.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       18        0        0     1.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000    18.000000000     0.000000000     0.000000000     4.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       19        0        0    29.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000    62.000000000     0.000000000     0.000000000     1.000000000     0.000000000     0.000000000     0.000000000     0.000000000
BETU24              2017        3       20        0        0    58.000000000    16.000000000     0.000000000     0.000000000     0.000000000     0.000000000    12.000000000     1.000000000     3.000000000    27.000000000     0.000000000     0.000000000    28.000000000     0.000000000
BETU24              2017        3       21        0        0    34.000000000    56.000000000     3.000000000     4.000000000     8.000000000     0.000000000     8.000000000     1.000000000     0.000000000   180.000000000     3.000000000     1.000000000    49.000000000     0.000000000
BETU24              2017        3       22        0        0     0.000000000     0.000000000     0.000000000     0.000000000     1.000000000     0.000000000     3.000000000     0.000000000     0.000000000   299.000000000     0.000000000     0.000000000    28.000000000     0.000000000
BETU24              2017        3       23        0        0     1.000000000    30.000000000     0.000000000     5.000000000     0.000000000     0.000000000     3.000000000     0.000000000     3.000000000   119.000000000     1.000000000     0.000000000    19.000000000     0.000000000
BETU24              2017        3       24        0        0     1.000000000    53.000000000     7.000000000     5.000000000     5.000000000     0.000000000     7.000000000     1.000000000     1.000000000  1143.000000000     3.000000000     4.000000000    35.000000000     0.000000000
BETU24              2017        3       25        0        0   171.000000000    87.000000000     9.000000000     1.000000000    23.000000000     4.000000000   129.000000000     0.000000000     5.000000000  1416.000000000     4.000000000     4.000000000   131.000000000     9.000000000
BETU24              2017        3       26        0        0    33.000000000   175.000000000    42.000000000     9.000000000     8.000000000     0.000000000    20.000000000    22.000000000     3.000000000   202.000000000    18.000000000    11.000000000    22.000000000    14.000000000
BETU24              2017        3       27        0        0    98.000000000   163.000000000    38.000000000    95.000000000    76.000000000     4.000000000    74.000000000    20.000000000     4.000000000   955.000000000     7.000000000    29.000000000   195.000000000    20.000000000
BETU24              2017        3       28        0        0   188.000000000   512.000000000   156.000000000   593.000000000   142.000000000     0.000000000   230.000000000   123.000000000   107.000000000  2481.000000000    51.000000000   260.000000000   481.000000000    68.000000000
BETU24              2017        3       29        0        0   492.000000000   302.000000000  1486.000000000  1389.000000000   306.000000000     4.000000000   599.000000000   138.000000000   726.000000000  1704.000000000   177.000000000   731.000000000   381.000000000    57.000000000
BETU24              2017        3       30        0        0   414.000000000   592.000000000   848.000000000  1492.000000000   417.000000000     0.000000000   525.000000000   320.000000000   902.000000000  1969.000000000   283.000000000   831.000000000   241.000000000    45.000000000
BETU24              2017        3       31        0        0   362.000000000 -9999.000000000  1078.000000000  2004.000000000   221.000000000    16.000000000   390.000000000   706.000000000   766.000000000  1292.000000000   368.000000000  1056.000000000   440.000000000    59.000000000
BETU24              2017        4        1        0        0   255.000000000 -9999.000000000   483.000000000   459.000000000   118.000000000     1.000000000   313.000000000   421.000000000  1066.000000000   597.000000000   156.000000000  1289.000000000   186.000000000    24.000000000
BETU24              2017        4        2        0        0    35.000000000 -9999.000000000   492.000000000   381.000000000   187.000000000     9.000000000   125.000000000   294.000000000   505.000000000   135.000000000   139.000000000   274.000000000   179.000000000    98.000000000
BETU24              2017        4        3        0        0   191.000000000 -9999.000000000   601.000000000   352.000000000   366.000000000     9.000000000   149.000000000   261.000000000   405.000000000   428.000000000   134.000000000   242.000000000   217.000000000    76.000000000
BETU24              2017        4        4        0        0   133.000000000   236.000000000   511.000000000   175.000000000   215.000000000     0.000000000   245.000000000   271.000000000   228.000000000   421.000000000   176.000000000   478.000000000   265.000000000   199.000000000
BETU24              2017        4        5        0        0    72.000000000   139.000000000   399.000000000    30.000000000   248.000000000     3.000000000    50.000000000    62.000000000   127.000000000   146.000000000   149.000000000   139.000000000   279.000000000   206.000000000
BETU24              2017        4        6        0        0    88.000000000   244.000000000   532.000000000   443.000000000   325.000000000    15.000000000    73.000000000   363.000000000   375.000000000   184.000000000   163.000000000   341.000000000   175.000000000    99.000000000
BETU24              2017        4        7        0        0    92.000000000    45.000000000   341.000000000   111.000000000   173.000000000     3.000000000    16.000000000    72.000000000   127.000000000   379.000000000    54.000000000   249.000000000    85.000000000    23.000000000
BETU24              2017        4        8        0        0   115.000000000    50.000000000   187.000000000   160.000000000    84.000000000     8.000000000    49.000000000   115.000000000   186.000000000   582.000000000    56.000000000   169.000000000    70.000000000    27.000000000
BETU24              2017        4        9        0        0   102.000000000    43.000000000   133.000000000    79.000000000    66.000000000     4.000000000    45.000000000   148.000000000    91.000000000   399.000000000    35.000000000    41.000000000    85.000000000    31.000000000
BETU24              2017        4       10        0        0   171.000000000   104.000000000   218.000000000   175.000000000    64.000000000    15.000000000    31.000000000   284.000000000   520.000000000   458.000000000    73.000000000   322.000000000   106.000000000    77.000000000
BETU24              2017        4       11        0        0   142.000000000   118.000000000   276.000000000   213.000000000    77.000000000    18.000000000   104.000000000   149.000000000   200.000000000   192.000000000    39.000000000   177.000000000    79.000000000    57.000000000
BETU24              2017        4       12        0        0    74.000000000    35.000000000   102.000000000    54.000000000    20.000000000     1.000000000    50.000000000    50.000000000    51.000000000   116.000000000    22.000000000    72.000000000    47.000000000    42.000000000
